Pattern,Type
Omp_mutations,mutations
Col_mutations,mutations
K_locus,K_locus
K_locus_confidence,K_locus
K_locus_problems,K_locus
K_locus_identity,K_locus
K_Missing_expected_genes,K_locus
O_locus,O_locus
O_locus_confidence,O_locus
O_locus_problems,O_locus
O_locus_identity,O_locus
O_Missing_expected_genes,O_locus
virulence_score,virulence
Yersiniabactin,virulence
YbST,virulence
Colibactin,virulence
CbST,virulence
Aerobactin,virulence
AbST,virulence
Salmochelin,virulence
SmST,virulence
RmpADC,virulence
rmpA2,virulence
wzi,virulence
